Дата;Открытие;Макс;Мин;Закрытие;
05.10.2018;114400.0000000;114410.0000000;114350.0000000;114410.0000000;
05.10.2018;114420.0000000;114570.0000000;114390.0000000;114510.0000000;
05.10.2018;114510.0000000;114520.0000000;114440.0000000;114500.0000000;
05.10.2018;114490.0000000;114520.0000000;114440.0000000;114490.0000000;
05.10.2018;114500.0000000;114530.0000000;114470.0000000;114480.0000000;
05.10.2018;114470.0000000;114520.0000000;114470.0000000;114480.0000000;
05.10.2018;114470.0000000;114500.0000000;114400.0000000;114440.0000000;
05.10.2018;114440.0000000;114500.0000000;114430.0000000;114490.0000000;
05.10.2018;114480.0000000;114480.0000000;114440.0000000;114450.0000000;
05.10.2018;114450.0000000;114480.0000000;114430.0000000;114480.0000000;
05.10.2018;114490.0000000;114530.0000000;114430.0000000;114480.0000000;
05.10.2018;114470.0000000;114690.0000000;114460.0000000;114670.0000000;
05.10.2018;114670.0000000;114670.0000000;114600.0000000;114610.0000000;
05.10.2018;114630.0000000;114690.0000000;114610.0000000;114660.0000000;
05.10.2018;114670.0000000;114680.0000000;114610.0000000;114610.0000000;
05.10.2018;114620.0000000;114630.0000000;114570.0000000;114600.0000000;
05.10.2018;114600.0000000;114720.0000000;114600.0000000;114690.0000000;
05.10.2018;114700.0000000;114810.0000000;114690.0000000;114790.0000000;
05.10.2018;114780.0000000;114850.0000000;114750.0000000;114850.0000000;
05.10.2018;114850.0000000;114900.0000000;114770.0000000;114870.0000000;
05.10.2018;114880.0000000;114960.0000000;114860.0000000;114880.0000000;
05.10.2018;114890.0000000;114940.0000000;114850.0000000;114930.0000000;
05.10.2018;114930.0000000;114970.0000000;114900.0000000;114900.0000000;
05.10.2018;114900.0000000;114960.0000000;114860.0000000;114950.0000000;
05.10.2018;114960.0000000;115000.0000000;114940.0000000;114950.0000000;
05.10.2018;114960.0000000;114960.0000000;114860.0000000;114900.0000000;
05.10.2018;114890.0000000;114900.0000000;114810.0000000;114830.0000000;
05.10.2018;114830.0000000;114890.0000000;114800.0000000;114880.0000000;
05.10.2018;114880.0000000;114970.0000000;114860.0000000;114970.0000000;
05.10.2018;114970.0000000;115090.0000000;114950.0000000;114950.0000000;
05.10.2018;114950.0000000;114970.0000000;114860.0000000;114880.0000000;
05.10.2018;114860.0000000;114990.0000000;114860.0000000;114960.0000000;
05.10.2018;114960.0000000;115000.0000000;114940.0000000;114960.0000000;
05.10.2018;114970.0000000;114990.0000000;114920.0000000;114920.0000000;
05.10.2018;114920.0000000;114960.0000000;114880.0000000;114910.0000000;
05.10.2018;114920.0000000;114930.0000000;114780.0000000;114780.0000000;
05.10.2018;114780.0000000;114820.0000000;114700.0000000;114800.0000000;
